user_id,user_name,email,city,registration_date,total_orders,total_spent,avg_order_value,last_order_date,segment
67,user_67,user67@test.com,SPB,2024-03-07,5,13143.0,2628.6,2024-02-25 09:00:00,Regular
28,user_28,user28@test.com,KAZAN,2024-01-28,4,8443.0,2110.75,2024-01-31 03:00:00,New
43,user_43,user43@test.com,KAZAN,2024-02-12,3,10864.0,3621.3333333333335,2024-02-26 00:00:00,Regular
32,user_32,user32@test.com,KAZAN,2024-02-01,3,5804.0,1934.6666666666667,2024-02-10 03:00:00,New
92,user_92,user92@test.com,MOSCOW,2024-04-01,6,15454.0,2575.6666666666665,2024-02-23 15:00:00,Regular
56,user_56,user56@test.com,KAZAN,2024-02-25,2,876.0,438.0,2024-01-17 03:00:00,New
68,user_68,user68@test.com,SPB,2024-03-08,2,9304.0,4652.0,2024-01-27 18:00:00,New
31,user_31,user31@test.com,SPB,2024-01-31,1,773.0,773.0,2024-01-22 00:00:00,New
18,user_18,user18@test.com,SPB,2024-01-18,1,2228.0,2228.0,2024-01-26 12:00:00,New
95,user_95,user95@test.com,MOSCOW,2024-04-04,2,5638.0,2819.0,2024-02-22 03:00:00,New
88,user_88,user88@test.com,MOSCOW,2024-03-28,2,3721.0,1860.5,2024-01-03 15:00:00,New
86,user_86,user86@test.com,SPB,2024-03-26,6,16548.0,2758.0,2024-02-18 21:00:00,Regular
4,user_4,user4@test.com,KAZAN,2024-01-04,3,7861.0,2620.3333333333335,2024-02-23 00:00:00,New
27,user_27,user27@test.com,MOSCOW,2024-01-27,5,15580.0,3116.0,2024-02-06 00:00:00,Regular
39,user_39,user39@test.com,MOSCOW,2024-02-08,3,10571.0,3523.6666666666665,2024-02-07 00:00:00,Regular
54,user_54,user54@test.com,MOSCOW,2024-02-23,5,7321.0,1464.2,2024-02-12 09:00:00,New
97,user_97,user97@test.com,MOSCOW,2024-04-06,4,13521.0,3380.25,2024-01-31 09:00:00,Regular
70,user_70,user70@test.com,MOSCOW,2024-03-10,3,9554.0,3184.6666666666665,2024-01-18 18:00:00,New
40,user_40,user40@test.com,KAZAN,2024-02-09,3,12122.0,4040.6666666666665,2024-02-25 18:00:00,Regular
60,user_60,user60@test.com,KAZAN,2024-02-29,3,7316.0,2438.6666666666665,2024-02-12 12:00:00,New
25,user_25,user25@test.com,MOSCOW,2024-01-25,4,8672.0,2168.0,2024-02-10 18:00:00,New
83,user_83,user83@test.com,SPB,2024-03-23,0,0.0,0.0,,New
90,user_90,user90@test.com,MOSCOW,2024-03-30,8,21132.0,2641.5,2024-02-28 00:00:00,Regular
42,user_42,user42@test.com,KAZAN,2024-02-11,3,7950.0,2650.0,2024-02-12 00:00:00,New
6,user_6,user6@test.com,MOSCOW,2024-01-06,2,3109.0,1554.5,2024-02-13 09:00:00,New
11,user_11,user11@test.com,KAZAN,2024-01-11,1,323.0,323.0,2024-01-18 03:00:00,New
64,user_64,user64@test.com,SPB,2024-03-04,3,5654.0,1884.6666666666667,2024-02-29 18:00:00,New
74,user_74,user74@test.com,SPB,2024-03-14,1,2449.0,2449.0,2024-02-27 21:00:00,New
81,user_81,user81@test.com,KAZAN,2024-03-21,2,5063.0,2531.5,2024-01-14 12:00:00,New
66,user_66,user66@test.com,SPB,2024-03-06,3,9692.0,3230.6666666666665,2024-02-05 21:00:00,New
45,user_45,user45@test.com,MOSCOW,2024-02-14,1,4949.0,4949.0,2024-01-09 00:00:00,New
71,user_71,user71@test.com,KAZAN,2024-03-11,0,0.0,0.0,,New
20,user_20,user20@test.com,SPB,2024-01-20,0,0.0,0.0,,New
44,user_44,user44@test.com,MOSCOW,2024-02-13,4,10790.0,2697.5,2024-02-26 03:00:00,Regular
19,user_19,user19@test.com,SPB,2024-01-19,6,11436.0,1906.0,2024-02-15 03:00:00,Regular
47,user_47,user47@test.com,SPB,2024-02-16,2,3291.0,1645.5,2024-02-19 15:00:00,New
80,user_80,user80@test.com,SPB,2024-03-20,1,1022.0,1022.0,2024-02-23 09:00:00,New
78,user_78,user78@test.com,KAZAN,2024-03-18,1,3424.0,3424.0,2024-01-04 21:00:00,New
9,user_9,user9@test.com,KAZAN,2024-01-09,2,5114.0,2557.0,2024-01-23 21:00:00,New
52,user_52,user52@test.com,MOSCOW,2024-02-21,5,13319.0,2663.8,2024-02-14 06:00:00,Regular
84,user_84,user84@test.com,MOSCOW,2024-03-24,3,11264.0,3754.6666666666665,2024-03-03 09:00:00,Regular
17,user_17,user17@test.com,SPB,2024-01-17,6,20478.0,3413.0,2024-03-03 03:00:00,Regular
30,user_30,user30@test.com,KAZAN,2024-01-30,3,5568.0,1856.0,2024-03-03 00:00:00,New
61,user_61,user61@test.com,SPB,2024-03-01,2,4361.0,2180.5,2024-02-24 21:00:00,New
3,user_3,user3@test.com,KAZAN,2024-01-03,4,9834.0,2458.5,2024-01-24 12:00:00,New
14,user_14,user14@test.com,KAZAN,2024-01-14,3,9516.0,3172.0,2024-02-09 06:00:00,New
79,user_79,user79@test.com,KAZAN,2024-03-19,2,6812.0,3406.0,2024-01-12 18:00:00,New
16,user_16,user16@test.com,MOSCOW,2024-01-16,5,10184.0,2036.8,2024-02-23 03:00:00,Regular
21,user_21,user21@test.com,MOSCOW,2024-01-21,2,7923.0,3961.5,2024-01-30 18:00:00,New
69,user_69,user69@test.com,SPB,2024-03-09,4,10513.0,2628.25,2024-02-22 21:00:00,Regular
33,user_33,user33@test.com,SPB,2024-02-02,10,26739.0,2673.9,2024-02-25 15:00:00,Regular
12,user_12,user12@test.com,KAZAN,2024-01-12,5,17350.0,3470.0,2024-02-25 06:00:00,Regular
98,user_98,user98@test.com,KAZAN,2024-04-07,1,4569.0,4569.0,2024-01-17 18:00:00,New
76,user_76,user76@test.com,SPB,2024-03-16,2,4215.0,2107.5,2024-02-09 09:00:00,New
37,user_37,user37@test.com,KAZAN,2024-02-06,1,4921.0,4921.0,2024-02-02 12:00:00,New
85,user_85,user85@test.com,MOSCOW,2024-03-25,1,4770.0,4770.0,2024-02-20 18:00:00,New
65,user_65,user65@test.com,SPB,2024-03-05,3,10937.0,3645.6666666666665,2024-02-25 12:00:00,Regular
55,user_55,user55@test.com,SPB,2024-02-24,4,8932.0,2233.0,2024-03-02 09:00:00,New
82,user_82,user82@test.com,MOSCOW,2024-03-22,2,5062.0,2531.0,2024-03-01 09:00:00,New
41,user_41,user41@test.com,MOSCOW,2024-02-10,1,3131.0,3131.0,2024-01-27 09:00:00,New
100,user_100,user100@test.com,MOSCOW,2024-04-09,2,8397.0,4198.5,2024-02-21 18:00:00,New
26,user_26,user26@test.com,MOSCOW,2024-01-26,2,1417.0,708.5,2024-02-27 18:00:00,New
10,user_10,user10@test.com,KAZAN,2024-01-10,2,7705.0,3852.5,2024-02-29 09:00:00,New
62,user_62,user62@test.com,MOSCOW,2024-03-02,7,14662.0,2094.5714285714284,2024-03-01 21:00:00,Regular
99,user_99,user99@test.com,MOSCOW,2024-04-08,10,22087.0,2208.7,2024-03-02 21:00:00,Regular
38,user_38,user38@test.com,KAZAN,2024-02-07,3,6616.0,2205.3333333333335,2024-01-29 21:00:00,New
46,user_46,user46@test.com,KAZAN,2024-02-15,3,2843.0,947.6666666666666,2024-02-26 18:00:00,New
91,user_91,user91@test.com,MOSCOW,2024-03-31,2,2052.0,1026.0,2024-02-23 21:00:00,New
5,user_5,user5@test.com,MOSCOW,2024-01-05,2,5806.0,2903.0,2024-02-13 03:00:00,New
96,user_96,user96@test.com,MOSCOW,2024-04-05,7,16937.0,2419.5714285714284,2024-03-02 00:00:00,Regular
94,user_94,user94@test.com,KAZAN,2024-04-03,2,8967.0,4483.5,2024-02-13 15:00:00,New
13,user_13,user13@test.com,MOSCOW,2024-01-13,3,5963.0,1987.6666666666667,2024-02-26 09:00:00,New
29,user_29,user29@test.com,KAZAN,2024-01-29,3,4035.0,1345.0,2024-02-28 18:00:00,New
8,user_8,user8@test.com,SPB,2024-01-08,5,14372.0,2874.4,2024-02-27 12:00:00,Regular
1,user_1,user1@test.com,KAZAN,2024-01-01,7,13366.0,1909.4285714285713,2024-02-22 18:00:00,Regular
51,user_51,user51@test.com,SPB,2024-02-20,6,8117.0,1352.8333333333333,2024-02-25 00:00:00,New
2,user_2,user2@test.com,MOSCOW,2024-01-02,5,9409.0,1881.8,2024-02-23 12:00:00,New
75,user_75,user75@test.com,SPB,2024-03-15,2,5963.0,2981.5,2024-02-28 15:00:00,New
